,pcode,usercount,week_weekend_ratio,userdaycount_mean,userdaycount_median,tripcount_mean,tripcount_median,tripcount_sum
0,00100,2251,2.4737022119553225,28.51399378054198,21.0,48.4233673922701,31.0,109001
1,00120,724,3.0953635741544723,27.908839779005525,19.0,47.26657458563536,29.0,34221
2,00130,178,2.9605426416490257,22.735955056179776,15.0,37.449438202247194,21.0,6666
3,00140,795,2.5876657046929306,26.122012578616353,18.0,43.77106918238994,27.0,34798
4,00150,1080,2.8355411197455362,28.788888888888888,21.0,48.90277777777778,29.0,52815
5,00160,356,2.7906231028294184,28.615168539325843,21.0,50.08988764044944,30.0,17832
6,00170,721,2.808887817104314,27.33009708737864,18.0,47.940360610263525,26.0,34565
7,00180,1663,2.782435357387213,29.29945880938064,22.0,50.35838845460012,34.0,83746
8,00190,41,4.392670855450502,22.951219512195124,17.0,34.68292682926829,22.0,1422
9,00200,1365,2.602762881408132,20.593406593406595,14.0,35.35164835164835,21.0,48255
10,00210,672,2.7814379381409977,19.257440476190474,12.0,32.95238095238095,18.0,22144
11,00220,587,2.6828356360508248,29.385008517887563,22.0,50.781942078364565,32.0,29809
12,00230,1,1.9,23.0,23.0,46.0,46.0,46
13,00240,440,2.2873778997789525,27.93409090909091,21.0,48.263636363636365,31.0,21236
14,00250,1428,2.4881880437984183,28.75140056022409,22.0,49.2093837535014,33.0,70271
15,00260,602,3.362726427085996,29.569767441860463,22.0,50.82392026578073,33.5,30596
16,00270,811,2.5352294329448086,24.68557336621455,18.0,42.737361282367445,28.0,34660
17,00280,323,2.258442090426659,28.226006191950464,20.0,50.13312693498452,28.0,16193
18,00290,7,0.9409802895517181,28.142857142857142,20.0,51.857142857142854,31.0,363
19,00300,436,2.8938890174016407,24.988532110091743,18.0,44.46559633027523,28.0,19387
20,00310,32,2.8290676310166445,14.65625,9.5,23.1875,14.0,742
21,00320,421,3.956506181027397,16.304038004750595,10.0,26.133016627078383,16.0,11002
22,00330,681,3.7498047267088213,21.22173274596182,15.0,36.40234948604993,22.0,24790
23,00340,50,4.323207868447343,15.22,8.5,25.28,12.5,1264
24,00350,647,3.1765797157329194,22.44822256568779,16.0,38.87326120556414,23.0,25151
25,00360,44,3.3600452577725304,13.727272727272727,6.0,24.136363636363637,8.5,1062
26,00370,90,6.085256065610372,17.533333333333335,10.0,27.7,15.5,2493
27,00380,93,3.9881805147000393,11.56989247311828,8.0,19.602150537634408,13.0,1823
28,00390,62,6.562073832770302,14.306451612903226,9.0,22.43548387096774,14.0,1391
29,00400,175,4.6239011144470465,18.92,11.0,30.53142857142857,17.0,5343
30,00410,97,4.896247006143913,15.103092783505154,9.0,23.484536082474225,12.0,2278
31,00420,164,6.32695869410153,17.079268292682926,11.0,26.28048780487805,17.0,4310
32,00430,58,3.995063155235569,10.39655172413793,7.0,15.275862068965518,10.5,886
33,00440,74,7.815527206869433,20.04054054054054,12.0,33.013513513513516,16.5,2443
34,00500,1354,2.4729415145696683,24.237075332348596,17.0,40.318316100443134,25.0,54591
35,00510,984,2.7169226438674605,28.431910569105693,21.0,46.895325203252035,31.0,46145
36,00520,672,3.2302743950676422,25.950892857142858,18.0,44.07738095238095,28.0,29620
37,00530,2031,2.622472265404782,26.91974396848843,20.0,44.861152141802066,29.0,91113
38,00540,345,2.7605241834414835,23.985507246376812,18.0,39.29855072463768,26.0,13558
39,00550,908,2.8734351903494106,23.871145374449338,17.0,39.892070484581495,25.0,36222
40,00560,1141,3.356459258436901,21.488168273444348,16.0,34.74583698510079,23.0,39645
41,00570,98,3.85252639099175,18.989795918367346,12.5,30.448979591836736,18.0,2984
42,00580,244,2.813952589342362,23.0,15.0,38.57786885245902,22.5,9413
43,00590,21,4.4247203325774755,11.619047619047619,6.0,20.761904761904763,10.0,436
44,00600,223,2.452059419309734,25.878923766816143,21.0,43.18834080717489,34.0,9631
45,00610,535,3.0602952046501746,20.257943925233644,13.0,33.65046728971963,20.0,18003
46,00620,100,5.966383070506634,15.49,8.0,25.76,13.0,2576
47,00630,136,5.924002297933206,13.566176470588236,6.0,21.66176470588235,10.0,2946
48,00640,179,4.7823131571965165,14.692737430167599,9.0,24.955307262569832,14.0,4467
49,00650,70,7.490380037241588,12.0,8.0,18.257142857142856,11.5,1278
50,00660,77,6.361129561381663,12.506493506493506,5.0,19.753246753246753,9.0,1521
51,00670,45,5.266272965008597,12.955555555555556,6.0,21.555555555555557,8.0,970
52,00680,50,7.723771878448349,13.92,7.5,22.18,11.0,1109
53,00690,28,5.181696802162641,15.071428571428571,9.0,27.642857142857142,16.0,774
54,00700,115,5.962072944225723,17.2,9.0,27.704347826086956,12.0,3186
55,00710,122,6.928836958991301,14.745901639344263,10.0,24.59016393442623,14.0,3000
56,00720,100,6.535957632512415,18.63,10.0,30.16,14.0,3016
57,00730,124,15.667775690217795,20.056451612903224,11.0,33.74193548387097,16.5,4184
58,00740,49,7.980544217687076,12.204081632653061,8.0,19.102040816326532,13.0,936
59,00750,124,9.461681204156944,21.137096774193548,14.0,33.903225806451616,20.0,4204
60,00760,70,10.553767011790054,15.028571428571428,9.0,24.514285714285716,12.0,1716
61,00770,41,6.77012521824823,20.5609756097561,9.0,33.53658536585366,15.0,1375
62,00780,50,8.251547305854306,15.6,9.0,23.32,11.0,1166
63,00790,169,3.7049710939194282,15.68639053254438,9.0,32.33136094674556,13.0,5464
64,00800,109,4.972560106283268,14.174311926605505,9.0,21.431192660550458,13.0,2336
65,00810,154,3.7255492688281073,13.35064935064935,7.5,20.461038961038962,10.5,3151
66,00820,75,7.118520555000555,16.933333333333334,9.0,25.28,14.0,1896
67,00830,25,4.7094410987361455,17.48,10.0,27.6,18.0,690
68,00840,100,4.591112741364915,14.03,8.0,23.23,11.5,2323
69,00850,25,7.549676190476191,13.12,7.0,21.08,10.0,527
70,00860,1,5.6,11.0,11.0,15.0,15.0,15
71,00870,58,5.963899520098005,15.310344827586206,8.0,23.551724137931036,10.5,1366
72,00880,13,3.7476068376068374,17.076923076923077,12.0,27.307692307692307,17.0,355
73,00890,12,1.770815544608648,20.333333333333332,16.0,35.166666666666664,26.0,422
74,00900,32,9.475486111111111,17.6875,5.5,26.46875,9.5,847
75,00910,70,7.1713737872771475,15.842857142857143,13.0,23.34285714285714,16.5,1634
76,00920,98,13.827308860340674,14.795918367346939,8.5,22.43877551020408,11.5,2199
77,00930,50,6.115484431879236,16.86,11.0,28.36,16.5,1418
78,00940,95,6.650020605500664,16.526315789473685,8.0,27.66315789473684,12.0,2628
79,00950,36,6.110777686553548,11.694444444444445,9.5,18.083333333333332,13.5,651
80,00960,40,6.9420019795476,14.925,9.0,27.0,12.5,1080
81,00970,58,9.296694492742587,17.655172413793103,8.5,30.82758620689655,12.0,1788
82,00980,137,8.637863838388297,13.686131386861314,8.0,21.204379562043794,12.0,2905
83,00990,84,6.162828889644229,15.964285714285714,7.5,26.797619047619047,11.5,2251
84,01120,2,1.5,1.0,1.0,1.5,1.5,3
85,01150,22,4.538517316017316,11.590909090909092,5.5,23.863636363636363,9.5,525
86,01180,3,0.4666666666666666,6.0,8.0,9.333333333333334,13.0,28
87,01190,3,15.066666666666668,18.0,1.0,35.0,5.0,105
88,01200,21,7.757319727891156,12.904761904761905,7.0,19.714285714285715,10.0,414
89,01230,21,16.1615873015873,11.571428571428571,4.0,20.523809523809526,9.0,431
90,01260,7,20.140259740259744,19.285714285714285,10.0,33.0,12.0,231
91,01280,32,2.8695868838872567,12.96875,5.0,21.5625,7.0,690
92,01300,111,7.321090663675409,11.0990990990991,4.0,18.0990990990991,6.0,2009
93,01340,10,17.93333333333333,18.7,19.5,28.3,29.0,283
94,01350,55,7.332818945760121,12.072727272727272,6.0,18.236363636363638,10.0,1003
95,01360,40,7.170935345356398,14.925,9.5,23.475,16.0,939
96,01370,38,20.709788106630214,24.473684210526315,15.0,37.78947368421053,22.0,1436
97,01380,11,18.42828282828283,15.545454545454545,7.0,23.454545454545453,7.0,258
98,01390,34,12.53159169550173,16.11764705882353,7.5,25.941176470588236,12.5,882
99,01400,33,13.863117757663213,16.303030303030305,7.0,25.454545454545453,10.0,840
100,01420,12,7.2683333333333335,8.583333333333334,6.0,13.5,8.0,162
101,01450,72,12.023590621433758,16.555555555555557,7.0,25.916666666666668,12.0,1866
102,01480,20,7.84126219918773,17.3,15.5,34.55,30.0,691
103,01490,24,16.0843198304963,14.833333333333334,8.0,24.833333333333332,13.0,596
104,01510,27,5.746483352038907,7.62962962962963,5.0,15.333333333333334,11.0,414
105,01520,77,7.152361406515188,11.688311688311689,6.0,21.07792207792208,9.0,1623
106,01530,3,2.3333333333333335,12.0,1.0,21.666666666666668,4.0,65
107,01600,93,7.3142746202423625,17.387096774193548,10.0,25.86021505376344,15.0,2405
108,01610,26,9.552418905311612,16.03846153846154,6.5,26.423076923076923,10.5,687
109,01620,40,9.191435492801773,22.275,14.5,35.425,25.5,1417
110,01630,17,6.85266106442577,8.470588235294118,4.0,12.764705882352942,4.0,217
111,01640,21,8.999501133786847,17.904761904761905,4.0,29.904761904761905,6.0,628
112,01650,25,7.53810296010296,16.64,8.0,27.64,14.0,691
113,01660,9,13.525185185185185,9.0,5.0,16.555555555555557,10.0,149
114,01670,21,8.375255102040816,13.095238095238095,7.0,22.761904761904763,10.0,478
115,01680,3,12.266666666666666,11.333333333333334,11.0,19.0,21.0,57
116,01690,31,9.315698924731183,8.612903225806452,2.0,14.870967741935484,5.0,461
117,01700,48,6.04880327628322,13.75,4.5,23.895833333333332,7.0,1147
118,01710,21,14.987619047619049,13.666666666666666,8.0,26.19047619047619,11.0,550
119,01730,11,10.558634567014012,18.09090909090909,13.0,31.09090909090909,15.0,342
120,01750,3,18.333333333333332,12.0,15.0,18.333333333333332,22.0,55
121,01760,9,7.523809523809525,6.444444444444445,2.0,10.555555555555555,12.0,95
122,01800,25,8.630102846244023,23.96,17.0,43.24,28.0,1081
123,01810,3,5.666666666666667,3.0,2.0,5.666666666666667,4.0,17
124,01820,6,3.9111111111111114,13.5,13.5,26.166666666666668,17.0,157
125,01830,3,3.0526315789473686,12.333333333333334,2.0,27.333333333333332,6.0,82
126,01840,15,15.498296823002704,25.4,5.0,44.53333333333333,30.0,668
127,01860,4,52.75,51.25,51.0,83.25,81.0,333
128,01900,21,10.967863247863248,12.80952380952381,6.0,22.095238095238095,13.0,464
129,01940,2,70.5,41.5,41.5,70.5,70.5,141
130,02100,88,3.72859880149457,10.386363636363637,5.0,16.363636363636363,7.0,1440
131,02110,69,6.029457651848955,11.840579710144928,7.0,18.27536231884058,10.0,1261
132,02120,60,5.7427666371859925,12.966666666666667,6.5,20.05,9.0,1203
133,02130,80,5.655841915394547,13.1875,6.0,21.15,9.5,1692
134,02140,44,9.828915470494415,12.227272727272727,6.0,19.954545454545453,11.0,878
135,02150,149,3.3707592176471075,16.100671140939596,11.0,25.70469798657718,17.0,3830
136,02160,39,5.026140333096855,14.205128205128204,8.0,22.512820512820515,10.0,878
137,02170,63,5.279605280800943,11.777777777777779,8.0,18.73015873015873,9.0,1180
138,02180,70,7.1091417154274295,12.32857142857143,6.0,19.757142857142856,10.0,1383
139,02200,139,6.778595594683282,15.510791366906474,8.0,24.402877697841728,11.0,3392
140,02210,223,7.902509473367884,10.174887892376681,4.0,16.09865470852018,6.0,3590
141,02230,378,5.289428239555502,12.076719576719576,7.0,18.80952380952381,9.5,7110
142,02240,20,11.254029581529581,21.3,5.0,36.15,8.0,723
143,02260,30,4.76877329392778,17.4,10.0,31.433333333333334,11.5,943
144,02270,25,7.074133333333334,13.36,5.0,21.16,7.0,529
145,02280,27,10.62196314541142,11.592592592592593,6.0,19.037037037037038,11.0,514
146,02300,19,9.934780132148553,17.42105263157895,9.0,29.42105263157895,15.0,559
147,02320,96,7.710742297697746,15.71875,7.0,26.28125,12.5,2523
148,02330,54,7.479583132916466,15.148148148148149,7.0,26.962962962962962,10.5,1456
149,02340,33,8.908518518518518,15.333333333333334,11.0,25.151515151515152,15.0,830
150,02360,66,5.66654387642866,12.348484848484848,10.0,21.424242424242426,15.5,1414
151,02380,4,6.75,3.5,1.0,6.75,2.0,27
152,02400,52,11.827179487179487,14.711538461538462,6.0,24.596153846153847,10.0,1279
153,02410,3,6.466666666666666,8.0,5.0,10.0,10.0,30
154,02420,12,5.721666666666667,9.333333333333334,4.0,15.666666666666666,7.0,188
155,02430,25,10.250857142857145,10.88,4.0,16.84,8.0,421
156,02440,1,3.0,2.0,2.0,3.0,3.0,3
157,02450,15,13.715555555555557,11.533333333333333,5.0,19.8,10.0,297
158,02460,10,4.143768115942029,18.9,10.0,28.1,20.5,281
159,02470,1,0.061538461538461535,5.0,5.0,15.0,15.0,15
160,02480,21,12.576507936507937,8.952380952380953,4.0,15.571428571428571,9.0,327
161,02490,1,70.0,42.0,42.0,70.0,70.0,70
162,02510,3,5.577777777777778,6.0,5.0,11.0,10.0,33
163,02520,5,9.474887218045112,18.0,9.0,41.6,20.0,208
164,02540,4,10.06,15.75,15.0,21.75,21.0,87
165,02550,3,7.027564102564103,34.333333333333336,19.0,68.0,36.0,204
166,02570,1,24.8,70.0,70.0,126.0,126.0,126
167,02580,8,8.108333333333333,14.375,6.0,21.125,7.5,169
168,02590,2,5.2,10.0,10.0,14.0,14.0,28
169,02600,149,8.820222278738758,15.919463087248323,8.0,26.644295302013422,13.0,3970
170,02610,59,11.218794927239593,17.64406779661017,11.0,30.084745762711865,15.0,1775
171,02620,56,11.448343626924453,12.75,7.5,20.857142857142858,12.5,1168
172,02630,30,8.719032057267352,14.733333333333333,9.0,26.266666666666666,16.0,788
173,02650,130,7.233098015794371,13.176923076923076,7.0,19.73846153846154,11.5,2566
174,02660,39,6.640821027277936,11.820512820512821,7.0,19.384615384615383,10.0,756
175,02680,13,9.128836291913215,14.0,7.0,19.846153846153847,8.0,258
176,02700,93,6.962883109372007,14.956989247311828,8.0,25.21505376344086,12.0,2345
177,02710,34,6.903103439437528,12.882352941176471,5.0,21.647058823529413,9.0,736
178,02720,15,12.92622222222222,15.933333333333334,11.0,26.133333333333333,13.0,392
179,02730,21,8.822486772486773,12.904761904761905,6.0,21.952380952380953,14.0,461
180,02740,11,2.488239538239538,19.90909090909091,10.0,30.363636363636363,21.0,334
181,02750,46,6.590609511261685,13.043478260869565,9.0,19.23913043478261,16.0,885
182,02760,78,8.667755154769122,16.333333333333332,8.0,28.05128205128205,15.0,2188
183,02770,61,5.304386695624135,15.114754098360656,8.0,26.081967213114755,13.0,1591
184,02780,62,10.079764690129716,13.548387096774194,8.0,21.338709677419356,12.5,1323
185,02810,3,17.333333333333332,10.666666666666666,6.0,17.333333333333332,8.0,52
186,02820,6,10.638461538461538,17.166666666666668,9.0,27.333333333333332,15.5,164
187,02860,8,6.301388888888889,6.875,5.0,12.625,10.5,101
188,02880,33,13.424024662206481,11.636363636363637,6.0,19.575757575757574,8.0,646
189,02920,20,6.026964285714285,14.55,4.0,26.8,11.0,536
190,02940,44,6.120000468000469,12.727272727272727,6.5,20.045454545454547,8.5,882
191,02970,13,6.311400394477318,8.153846153846153,4.0,15.538461538461538,12.0,202
192,02980,1,1.3,8.0,8.0,17.0,17.0,17
193,03100,36,25.85432098765432,19.86111111111111,15.0,33.638888888888886,21.5,1211
194,03150,3,25.040000000000003,19.333333333333332,15.0,37.333333333333336,38.0,112
195,03220,1,18.0,9.0,9.0,18.0,18.0,18
196,03250,1,4.6,22.0,22.0,25.0,25.0,25
197,03300,13,7.3747431628674684,21.153846153846153,8.0,47.61538461538461,15.0,619
